2022/12/19 12:21:45 FEServer _attempting_ listening on port 4000:
2022/12/19 12:47:40 Couldn't convert key to int: %!(EXTRA *strconv.NumError=strconv.Atoi: parsing "h": invalid syntax)
2022/12/19 14:42:59 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:47:17 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:50:41 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:51:57 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:54:02 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:54:02 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 14:54:02 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 14:54:21 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:54:21 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 14:54:21 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 14:54:42 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:54:52 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:55:26 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:57:28 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 14:57:28 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 14:57:28 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 14:57:53 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 15:00:22 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 15:00:22 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 15:00:22 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 15:01:11 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 15:01:11 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 15:01:11 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 16:11:48 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 16:11:48 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 16:11:48 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 16:11:54 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 16:11:54 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 16:11:54 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:28:27 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:28:27 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:28:27 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:28:33 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:28:33 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:28:33 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:35:30 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:35:30 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:37:04 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:37:04 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:37:04 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:37:06 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:37:06 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:37:06 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:40:15 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:40:15 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:40:15 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:40:16 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:40:16 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:40:16 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:41:33 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:41:33 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:41:33 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:41:34 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:41:34 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:41:34 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:43:18 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:43:18 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:43:18 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/19 17:43:19 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/19 17:43:19 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/19 17:43:19 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:02:46 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:02:46 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/20 09:02:46 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:02:47 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:02:47 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/20 09:02:47 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:05:13 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:05:13 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/20 09:05:13 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:05:14 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:05:14 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/20 09:05:14 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:07:46 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:07:46 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/20 09:07:46 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:07:47 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:07:47 RMServer :5001: Trying to dial: %!v(MISSING)
2022/12/20 09:07:47 RMServer :5002: Trying to dial: %!v(MISSING)
2022/12/20 09:10:57 RMServer :5000: Trying to dial: %!v(MISSING)
2022/12/20 09:10:57 RMServer :5001: Trying to dial: %!v(MISSING)
